Unnamed: 0,uid,speakerid,replyid,utterance,offensive,target
304,1.0,3567791464,0,你这智商别玩贴吧了,1.0,1.0
321,5.0,889986903,705421211,一直逆行？你在想屁吃，逆行一点就行了还一直逆行交警不逮你啊,0.0,0.0
368,3.0,17596404017710,0,高中有名分的女朋友谈了7个,0.0,0.0
373,4.0,4149116484,1588810602,我是说致臭的物质一样，谁说真放了，你别的东西不能产生粪臭素，只有你能？,0.0,0.0
312,9.0,4169530874,0,东北人是这样,1.0,2.0
326,1.0,3080567564,0,我靠！！！！真不错,0.0,0.0
397,0.0,1092777921,-1,我跟你做了情侣做的事情不等于我和你是情侣,0.0,0.0
416,0.0,1444163695,-1,他是南工的，南工的同学有福了,0.0,0.0
495,7.0,4863681601,0,你喝多了？脑子不太好使,1.0,1.0
355,4.0,1596881181,0,送你个 der 若只，这是前天的事，还在送路上，送了三天吗？,1.0,1.0
254,0.0,457739587,-1,别扯什么这个之行那个之行了，我们更想了解一下，情伤,0.0,0.0
469,0.0,1236382911,-1,支持水鬼找室内抽烟和外放抖音的同归于尽，早该414了,1.0,2.0
459,3.0,3503628279,0,好骂,1.0,2.0
308,2.0,185951135,0,这女的袭警不判个几年,0.0,0.0
291,2.0,2068668977,2092639174,攻击性有待提高,1.0,1.0
255,0.0,1585629685,-1,这是南山后海CBD实拍。深圳不像广州，集全市之力打造最大的珠江新城CBD，确实很漂亮。但深圳的高楼分散在各个区域，很多区域都不比福田差，福田的存在只是为了一个市中心名义而已,0.0,0.0
279,1.0,5819364988,0,太直接，不如楼上攻击性强,1.0,2.0
423,7.0,2056559809,3498011556,首先，你觉得国产手机的零部件国产化比苹果多很多？就算多很多，增值税下降他们不是受利最大的？不应该更降价？你是不是孬子不好。,0.0,0.0
318,4.0,1412389506,1349260505,有没有种可能，人家根本不在意到底谁多谁错，这两人都堵着道了。你要是跟在后面我看你会不会急着让他俩别闹事赶紧走人。,0.0,0.0
279,7.0,2388754604,1137339124,只准男的厕所**，不准女的厕所抠豆,1.0,2.0
317,3.0,391297784,0,这么会,0.0,0.0
281,6.0,5621286249,6522846680,哈哈哈哈哈人才,1.0,2.0
362,0.0,807961790,-1,小学老师？这打扮？这车？这年龄？,0.0,0.0
391,4.0,6077633248,2977834410,呵呵，我在航吧被骂口，在口吧被骂航，两边一样扣帽子，那边说两句，就说我是1450，这边说两句，我就成了没出社会的学生,1.0,2.0
399,1.0,2728225813,0,可问题是没证据证明法官拉偏架，微博上说房子判给女方，我发的东西里是说法官在确认男方所有权的情况下驳回男方诉求。,0.0,0.0
385,6.0,3235397343,6546573012,目田神神是什么啊，老哥,0.0,0.0
355,0.0,834818038,-1,不信谣，不传谣，伤者情绪很稳定正在送往医院的路上,0.0,0.0
